id,condo_name-EN,rent_price,sale_price,bedroom,bath,size (sq.m),floor,title,description,photo1,agent_post,accept_agent,Aircon,Bath tub,Electric stove,Furniture,Gas stove,Refrigerator,Washing machine,Water heater
1,Chapter One Eco Ratchada-Huai Khwang,"15,000",0,0,1,28,12,ให้เช่า 1 ห้องนอน ตกแต่งพร้อมอยู่ ยังไม่เคยมีคนเช่า ยินดีรับโคเอเจ้นท์ให้เช่า 1 ห้องนอน ตกแต่งพร้อมอยู่ ยังไม่เคยมีคนเช่า ยินดีรับโคเให้เช่า 1 ห้องนอน ตกแต่งพร้อมอยู่ ยังไม่เคยมีคนเช่า ยินดีรับโคเให้เช่า 1 ห้องนอน ตกแต่งพร้อมอยู่ ยังไม่เคยมีคนเช่า ยินดีรับโคเให้เช่า 1 ห้องนอน ตกแต่งพร้อมอยู่ ยังไม่เคยมีคนเช่า ยินดีรับโคเ,ห้องใหม่เอี่ยม ให้เช่าพร้อมเฟอร์นิเจอร์ เครื่องใช้ไฟฟ้า เตียง โซฟา เครื่องปรับอากาศ เครื่องซักผ้า เครื่องทำน้ำร้อน เครื่องกรองน้ำ ไมโครเวฟ มัดจำห้อง2เดือน,https://storage.googleapis.com/m8-prod.appspot.com/images_condo/08_06_2020_15_00_27_tn_Aof.jpg,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,
2,Chambers Chaan Ladprao-Wanghin,"20,000","5,000,000",2,1,53,9,ให้เช่า คอนโด 40ตรม. ตกแต่งครบ พร้อมอยู่ เลี้ยงสัตว์เล็กได้ เดินทางสะดวก เจ้าของปล่อยเอง ปรึกษาได้,"📌📌📌 ปล่อยเช่า ปล่อยขายคอนโด Chambers Chaan Ladprao-Wanghin สร้างเสร็จปี 2017
2 ห้องนอน 1 ห้องน้ำ
ขนาดห้อง 40.81 ตรม. ชั้น 2 วิวสวน (ห้องริม)
(ทั้งชั้นมีแค่ 5 ห้อง private สุดๆ)
ลากกระเป๋าพร้อมเข้าอยู่สิ้นปีนี้ได้เลย

สัญญาเช่า 1 ปี
เงินค่าประกัน 2 เดือน ล่วงหน้า 1 เดือน

ตกแต่งเฟอร์นิเจอร์และเครื่องใช้ไฟฟ้าครบ
- เครื่องปรับอากาศ 2 เครื่อง
- TV 45""
- เครื่องซักผ้า
- ตู้เย็น
- ไมโครเวฟ
- เครื่องทำน้ำอุ่น
- เตาไฟฟ้า + เครื่องดูดควัน
- เฟอร์นิเจอร์ครบ

สิ่งอำนวยความสะดวก
- ลิฟท์
- ที่จอดรถ
- สระว่ายน้ำ
- ฟิตเนส
- สวนหย่อม
- ระบบรักษาความปลอดภัย 24 ชั่วโมง
- CCTV
- Key card

สถานที่สำคัญใกล้เคียง
- Lotus วังหิน
- The Jazz
- แม็คโคร
- พล่าซ่า ลากูน
- Central East ville
- โรงพยาบาลเปาโลโชคชัย 4
- มหาวิทยาลัยเกษตรศาสตร์
- มหาวิทยาลัยราชภัฎจันทรเกษม
- มหาลัยศรีปทุม",https://storage.googleapis.com/m8-prod.appspot.com/images_condo/09_06_2020_03_43_02_tn_Tan.jpg,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,
3,iCondo the Campus Salaya,"14,000",0,1,1,33,24,ให้เช่าคอนโดพร้อมอยู่ ใกล้ ม.มหิดล แวดล้อมด้วยธรรมชาติ สิ่งอำนวยความสะดวกครบครัน อาทิ ภายในห้องมีเครื่องใช้ไฟฟ้าครบ เป็นห้องมุม วิวสวย,ให้เช่าคอนโดพร้อมอยู่ ไอ คอนโด เดอะแคมปัส ศาลายา ใกล้ ม.มหิดล แวดล้อมด้วยธรรมชาติ สิ่งอำนวยความสะดวกครบครัน อาทิ สระว่ายน้ำ ฟิตเนส สวนส่วนกลาง ภายในห้องมีเครื่องใช้ไฟฟ้าครบ เป็นห้องมุม วิวสวยมองเห็นสนามกอล์ฟ ลากกระเป๋าเข้าอยู่ได้เลยสนใจติดต่อ 093-140-8910,https://storage.googleapis.com/m8-prod.appspot.com/images_condo/04_06_2020_16_36_17_tn_Mananya.jpg,,TRUE,,TRUE,,,TRUE,,,
4,Regent Home 18,"7,500",0,1,1,45,10,รีเจนท์โฮม 18 ตึก E พร้อมเฟอร์นิเจอร์ ห่างสถานีรถไฟฟ้าวัดพระศรีมหาธาตุเพียง 150 ม. เยื้อง ม.ราชภัฎพระนคร การเดินทางสะดวก,ห้องตกแต่งพร้อมเฟอร์นิเจอร์ ห้องรับแขกกั้นแยกส่วนกับห้องนอน มีห้องครัว และระเบียงด้านนอก สัญญา 1 ปี เหมาะกับวัยทำงาน และนักศึกษา,https://storage.googleapis.com/m8-prod.appspot.com/images_condo/08_06_2020_14_13_39_tn_99.jpg,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE
5,Shady32 : Room for rent Ratchada32,"6,000",0,1,1,39,10,ห้องพัฟังชั่นคอนโด เฟอร์ เครื่องใช้ไฟฟ้าครบ ลดช่วยโควิด,"‼️‼️ลดช่วย COVID 19 ถูกสุด 
▪️ROOM A : ขนาด 40 ตร.ม ราคา 6,500.-
▪️ROOM B : ขนาด 36 ตร.ม ราคา 6,000.-
💥1 ห้องนอน ,1 ห้องน้ำ ,1 ห้องนั้งเล่น
พื้นที่มีความเป็นสวนตัว ปลอดภัย ห้องใหญ่ สะดวกสบาย


❗️สิ่งอำนวยความสะดวก 👇
✅ โซฟาเบด
✅ โต๊ะทานอาหาร
✅ ทีวี 1 เครื่อง
✅ มุมครัว
✅ ไมโครเวฟ 1 เครื่อง
✅ ตู้เย็น 1 เครื่อง
✅ เครื่องปรับอากาศ 2 เครื่อง
✅ เครื่องทำน้ำอุ่น 1 เครื่อง
✅ ที่นอน 2 เตียง
✅ ตู้เสื้อผ้า
✅ โต๊ะเครื่องแป้ง


❗️ในที่พักมีบริการ📣
✅ WIFI
✅ เครื่องซักผ้าหยอดเหรียญ


‼️ระบบความปลอดภัย🚔
✅ กล้องวงจรปิด CCTV 📹
✅ ประตูหน้า ระบบคีย์การ์ด 
✅ ถังดับเพลิง ประจำตามจุด


📣 สถานที่ใกล้เคียง
▪️ มหาวิทยาลัยราชภัฏจันทรเกษม (เพียง 100 เมตร)
▪️กรมส่งเสริมการส่งออก 
▪️ศาลอาญา 
▪️คปภ.
▪️ SCB Park 
▪️ Union Mall
▪️ บิ๊กซีลาดพร้าว
▪️ โลตัสวังหิน
▪️เมเจอร์รัชโยธิน
▪️เซ็นทรัลลาดพร้าว


📣 การเดินทาง 🚙
▪️รถประจำทาง 10 สาย (ป้าย ม.ราชภัฏจันทรเกษม)
- สาย 126 บางเขน - ม.รามคำแหง
- สาย 136 คลองเตย - หมอชิต 2
- สาย 178 เคหะสุขา1 - เกษตร - สวนสยาม
- สาย 179 พระราม 9 - พระราม 7
- สาย 185 รังสิต - คลองเตย
- สาย 191 เคหะคลองจั่น - กระทรวงพาณิชย์
- สาย 206 ศรีนครินทร์ - วิภาวดี
- สาย 38 ม.จันทรเกษม - ราม 2
- สาย 41 จันทรเกษม - เดอะมอลล์บางกะปิ
- สาย 529 แสมดำ - หมอชิต
▪️ MRT ลาดพร้าว


❗️วิธีเดินทางเข้าที่พัก 👇
❤️ห่างจากปากซอยรัชดา32 ประมาณ 250เมตร
▪️ วินมอเตอร์ไซค์ค่าบริการ 10 บาท/คน


💥ร้านสะดวกซื้อ 👇
❤️ 7- Elephant (ใกล้ๆกันตอนเย็นมีตลาดนัด)
❤️ Lotus Express (ตอนเช้ามีตลาดนัด)
❤️ Cafe Amazon
☎️Tel. 081-300-0888 (คุณเมจิ)",https://storage.googleapis.com/m8-prod.appspot.com/images_condo/05_06_2020_10_27_24_tn_Pavinee.jpg,TRUE,TRUE,,,,,,,,
6,LUMPINI PARK PHETKASEM 98,0,"2,200,000",1,1,40,8,"คอนโดแต่งครบพร้อมเข้าอยู่ ขนาดกะทัดรัด วิวสระน้ำ ห่างจากสถานีรถไฟฟ้าเพียง 2.9 กม.
จองวันนี้แถมฟรีเครื่องซักผ้า และบริการล้างแอร์ฟรี 1ปี","คอนโดแต่งครบพร้อมเข้าอยู่ ขนาดกะทัดรัดอาคารC ชั้น 6 วิวสระน้ำ ห่างจากสถานีรถไฟฟ้าเพียง 2.9 กม.
👉จองวันนี้แถมฟรีเครื่องซักผ้า และบริการล้างแอร์พร้อมทำความสะอาด 1 ปี",https://storage.googleapis.com/m8-prod.appspot.com/images_condo/05_06_2020_10_25_54_tn_tayiga.jpg,,TRUE,,TRUE,,,TRUE,,,
7,Modiz Ratchada 32,"13,000",0,1,1,46,9,ให้เช่า คอนโด Modiz รัชดา 32 (ชั้นบนสุด ห้องมุม),"ให้เช่า Modiz รัชดา32
(ภาพถ่ายจากห้องจริง เฟอร์นิเจอร์และเครื่องใช้ไฟฟ้าตามรูปภาพครับ)


เช่าเพียง 13,000 เดือน (สัญญา 1 ปี)
ประกัน 1 เดือน + ค่าเช่าล่วงหน้า 1 เดือน


Type: 1 Bedroom Plus
1 ห้องนอน + 1 ห้องน้ำ + 1 ห้องทำงาน แยกจากห้องนั่งเล่น
ขนาดห้อง 31.37 ตร.ม
ห้องมุมชั้น 8 (ชั้นบนสุด) - ชั้นเดียวกับ ฟิตเนส และทางขึ้นสระว่ายน้ำ


===========================
สถานที่สำคัญใกล้เคียง
Tesco Lotus Express (รัชดา 32) : ~120 ม.
ศูนย์อาหารรัชดา 32 : ~150 ม.
สวนลุมไนท์บาซาร์ รัชดา : ~1.5 กม.
Major รัชโยธิน : ~2 กม.
Plaza Lagoon : ~2.1 กม.
Green Plaza : ~2.3 กม.
The JAS วังหิน : ~2.5 กม.
Union Mall : ~3 กม.
Central Eastville : ~7 กม.
Central ลาดพร้าว : ~4 กม.
Esplanade รัชดา : ~5.9 กม.
ตลาดวังหินยิ่งเจริญ : ~3.2 กม.
ตลาดสะพาน 2 : ~3.3 กม.
ตลาดโชคชัย 4 : ~4.3 กม.
ตลาดนัดรถไฟรัชดา : ~5.9 กม.
ม.ราชภัฎจันทรเกษม : ~550 ม.
ม.เกษตรศาสตร์ : ~3.6 กม.
รร.เซนต์จอห์น : ~3.7 กม.
รร.เสนานิคม : ~3.8 กม.
รร.สตรีวิทยา 2 : ~5.3 กม.
SCB Park : ~3.9 กม.
รพ.เมโย : ~3.2 กม.
รพ.สุทธิสาร : ~4.5 กม.
รพ.เปาโล : ~6.1 กม.
ศาลอาญา : 290 ม.
สน.พหลโยธิน : ~5.6 กม.
ตึกช้าง : ~4.7 กม.
สวนจตุจักร : ~5.6 กม.
สนง.กองปราบปราม : ~8 กม.
===========================


สิ่งอำนวยความสะดวก
Double Volume Marble Lounge
Fully Function Fitness
Co-working Space
The Sky Scape gardens
Moonlight Sky Pool
Poolside Pavilion
Rooftop Garden
Auto Parking ระบบจัดการจอดรถอัจริยะ
ระบบ Bluetooth Sound System
ระบบ Temperature Control
CCTV
รปภ. 24 ชม.
===========================


สนใจติดต่อ/นัดดูห้อง
โทร : 085-059-3556 (นะ)
โทร : 061-968-5244 (ปุณ)
Line ID : sitthana",https://storage.googleapis.com/m8-prod.appspot.com/images_condo/04_06_2020_12_26_31_tn_99.jpg,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE
8,The Bloom Sukhumvit 71,0,"3,300,000",1,1,48,12,"1 Bed 1 Bath 1 Living room 
Floor : 6th
Space : 34.2 SQM.
Fully Furnished
1 parking


เดินทางสะดวก
* Gateway เอกมัย – 1.3 กม. บนถนนสุขุมวิท",,https://storage.googleapis.com/m8-prod.appspot.com/images_condo/03_06_2020_16_15_19_tn_พลัมแจ้งวัฒนะ.jpg,TRUE,TRUE,,,,,,,,
9,,"30,000",0,1,1,49,7,"Condo for rent Via 31, No. 46 Soi Sukhumvit 31 yaek 2, Sukhumvit Rd.,1 Bedroom","ให้เช่าคอนโด Via 31, No. 46/33 FL4 ,Sukhumvit Rd. 1 Bedroom
เวีย 31 ซอยสุขุมวิท 31 (ซอยสวัสดี) แยก 2 ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร
VIA สุขุมวิท 31 (ซอยสวัสดี) แยก 2 ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กทม. ใกล้รถไฟฟ้า BTS พร้อมพงษ์, BTS อโศก หรือ MRT สุขุมวิท The Em District, Terminal 21, Rain Hill, รพ.สมิติเวช และ อุทยานเบญจสิริ


สถานที่สำคัญใกล้เคียงๆ 
1. Max Value
2. ซอยทองหล่อ
3. บีทีเอสพร้อมพงษ์ และ บีทีเอสอโศก
4. ห้างสรรพสินค้า ดิ เอ็มโพเรี่ยม
สิ่งอำนวยความสะดวก 
– สระว่ายน้ำ (พร้อมสระเด็ก), ฟิตเนส
– รปภ., กล้องวงจรปิดโครงการ, ประตู Key Card
– สตรีม
– สวนหย่อม
– Wi-Fi Internet บริเวณ Lobby (ห้องออกกำลังกาย และบริเวณระเบียงสระว่ายน้ำ)
ราคาเช่า 30,000 บาทต่อ เดือน 
ขนาด 48 ตารางเมตร
เบอร์โทรติดต่อ 089-409 7592 (NID)








Condo for rent Via 31, No. 46 Soi Sukhumvit 31 yaek 2, Sukhumvit Rd.,1 Bedroom


Located next to BTS Phrom Phong and Asoke. Alternatively, the MRT Sukhumvit station is close to the Via 31.The residence unite provides the excessive view and great atmosphere.
Address: No. 46 Soi Sukhumvit 31 yaek 2, Sukhumvit Rd., Khlongtoey-nua, Wattana, Bangkok 10110
- Lift
- Car Parking
- Swimming Pool
- Fitness
- Near Soi Thonglor
- Near BTS Phrom Phong and Asoke
- Near Emporium, Terminal 21 or Robinson Asoke that can take you on a shopping. 
- Near Max Value ,Uomasa Japanese Restaurant, Brown Eyes or Seafood Seafood Bistro
Price : 30,000 Per Month
Size : 48 square metres
Contact : 089-4097592 (NID)",https://storage.googleapis.com/m8-prod.appspot.com/images_condo/08_06_2020_15_31_08_tn_Narong.jpg,TRUE,,,,,,,,,
10,Amanta Lumpini,"48,000",0,2,2,45,20,"Condo for rent Amanta Lumpini, FL 32 ,Rama4 Rd. 2 Bedroom


Located next to MRT Khlong Toei and Expressway","ให้เช่าคอนโด Amanta Lumpini, No. 1144/231 FL 32 ,Rama4 Rd. 2 Bedroom
คอนโด Amanta Lumpini ใกล้กับMRT คลองเตย และทางด่วนเฉลิมมหานคร ถนน พระรามที่ 4 แขวง ทุ่งมหาเมฆ เขต สาทร กรุงเทพมหานคร 10120


สถานที่สำคัญใกล้เคียงๆ
1. ทเวนตี้โฟร์ทอเวนิว 
2. ทุ่งมหาเมฆทาวน์เซ็นเตอร์ 
3. ท็อปส์มาร์เก็ต (สุขุมวิท 24) 
4. MRT คลองเตย และ BTS ศาลาแดง
5. รพ.BNH
สิ่งอำนวยความสะดวก 
– สระว่ายน้ำ , ฟิตเนส
– รปภ., กล้องวงจรปิดโครงการ
– สตรีม
– สวนหย่อม/พื้นที่จัดบาร์บีคิว
ราคาเช่า 48,000 บาทต่อ เดือน 
ขนาด 99.18 ตารางเมตร
เบอร์โทรติดต่อ 089-409 7592 (NID)




Condo for rent Amanta Lumpini, No. 1144/231 FL 32 ,Rama4 Rd. 2 Bedroom


Located next to MRT Khlong Toei and Expressway access Chalerm Maha Nakhon
Address: Rama 4 Road, Thung Maha Mek, Sathon, Bangkok 10120,Thailand.


Nearby Amenities
- Near Twenty Four Avenue 
- Near Thung Mahamek Town Center 
- Near Tops Market (Sukhumvit 24)
- Near BTS Sala Daeng and MRT Khlong Toei
- Near BMH Hospital
Facilities
- Infinity-edge swimming pool
- Kid’s pool
- Jacuzzi
- Gym
- Steam and Sauna rooms
- Library
- Multi sports court
Price : 48,000 Per Month
Size : 99.18 square metres
Contact : 089-4097592 (NID)",https://storage.googleapis.com/m8-prod.appspot.com/images_condo/06_06_2020_21_34_31_tn_Poon.jpg,,TRUE,,,,,,,,
